"imdbid","year","rating","title","originalTitle","isAdult","startYear","runtimeMinutes","genres","averageRating","metascore","country","budget","open_usa","gross_usa","gross_world","won_oscar","oscars_won","nominated_oscar","oscars_nominations"
"0209475",2001,"ok","The Wedding Planner","The Wedding Planner",FALSE,2001,103,"Comedy,Romance",5.3,33,"Germany;USA",3.5e+07,13510293,60400856,94728529,0,0,0,0
"0280707",2001,"ok","Gosford Park","Gosford Park",FALSE,2001,131,"Comedy,Drama,Mystery",7.2,90,"USA;UK;Italy",19800000,241219,41308615,87754044,1,1,0,0
"0244000",2001,"no_talk","American Outlaws","American Outlaws",FALSE,2001,94,"Action,Western",6,25,"USA",3.5e+07,4855475,13342790,13678913,0,0,0,0
"0230011",2001,"no_talk","Atlantis: The Lost Empire","Atlantis: The Lost Empire",FALSE,2001,95,"Action,Adventure,Animation",6.9,52,"USA",1.2e+08,329011,84056472,186053725,0,0,0,0
"0035423",2001,"about_men","Kate & Leopold","Kate & Leopold",FALSE,2001,118,"Comedy,Fantasy,Romance",6.4,44,"USA",4.8e+07,9725408,47121859,76019048,0,0,1,1
"0196229",2001,"ok","Zoolander","Zoolander",FALSE,2001,90,"Comedy",6.5,61,"Germany;USA",2.8e+07,15525043,45172250,60780981,0,0,0,0
"0247745",2001,"no_talk","Super Troopers","Super Troopers",FALSE,2001,100,"Comedy,Crime,Mystery",7.1,48,"USA",3e+06,6203906,18492362,23182223,0,0,0,0
"0203009",2001,"ok","Moulin Rouge!","Moulin Rouge!",FALSE,2001,127,"Drama,Musical,Romance",7.6,66,"Australia;USA",5e+07,167540,57386607,184928135,1,2,0,0
"0241527",2001,"ok","Harry Potter and the Sorcerer's Stone","Harry Potter and the Sorcerer's Stone",FALSE,2001,152,"Adventure,Family,Fantasy",7.6,64,"UK;USA",1.25e+08,90294621,318087620,978087613,0,0,1,3
"0227538",2001,"ok","Spy Kids","Spy Kids",FALSE,2001,88,"Action,Adventure,Comedy",5.5,71,"USA",3.5e+07,26546881,112719001,147934180,0,0,0,0
"0248845",2001,"ok","Hedwig and the Angry Inch","Hedwig and the Angry Inch",FALSE,2001,95,"Comedy,Drama,Music",7.7,85,"USA",6e+06,156724,3067312,3644200,0,0,0,0
"0244970",2001,"ok","Someone Like You","Someone Like You...",FALSE,2001,97,"Comedy,Romance",6.1,32,"USA",2.3e+07,10010600,27343067,38689940,0,0,0,0
"0213149",2001,"about_men","Pearl Harbor","Pearl Harbor",FALSE,2001,183,"Action,Drama,History",6.2,44,"USA",1.4e+08,59078912,198542554,449220945,1,1,0,0
"0243655",2001,"ok","Wet Hot American Summer","Wet Hot American Summer",FALSE,2001,97,"Comedy,Romance",6.6,42,"USA",5e+06,17481,295206,295206,0,0,0,0
"0237534",2001,"about_men","Brotherhood of the Wolf","Le pacte des loups",FALSE,2001,142,"Action,Adventure,Drama",7,57,"France",2.9e+07,475181,11260096,70752904,0,0,0,0
"0263488",2001,"ok","Jeepers Creepers","Jeepers Creepers",FALSE,2001,90,"Horror,Mystery",6.2,49,"USA;Germany",1e+07,13106108,37904175,59371303,0,0,0,0
"0139654",2001,"no_talk","Training Day","Training Day",FALSE,2001,122,"Crime,Drama,Thriller",7.7,69,"USA",4.5e+07,22550788,76631907,104876233,1,1,0,0
"0286112",2001,"no_women","Shaolin Soccer","Siu Lam juk kau",FALSE,2001,113,"Action,Comedy,Family",7.3,68,"HongKong;China",1e+07,39167,489600,42776760,0,0,0,0
"0240462",2001,"ok","Dr. Dolittle 2","Dr. Dolittle 2",FALSE,2001,87,"Comedy,Family,Fantasy",4.7,49,"USA",7e+07,25037039,112952899,176104344,0,0,0,0
"0166276",2001,"ok","Monkeybone","Monkeybone",FALSE,2001,93,"Animation,Comedy,Fantasy",4.7,40,"USA",7.5e+07,2685078,5411999,7622365,0,0,0,0
"0256380",2001,"ok","Shallow Hal","Shallow Hal",FALSE,2001,114,"Comedy,Drama,Fantasy",5.9,48,"USA;Germany",4e+07,22518295,70839203,141069860,0,0,0,0
"0242587",2001,"no_talk","L.I.E.","L.I.E.",FALSE,2001,97,"Crime,Drama",7.1,73,"USA",7e+05,82530,1138836,1846059,0,0,0,0
"0212985",2001,"ok","Hannibal","Hannibal",FALSE,2001,131,"Crime,Drama,Thriller",6.8,57,"USA;UK;Italy",8.7e+07,58003121,165092268,351692268,0,0,0,0
"0267804",2001,"no_women","The One","The One",FALSE,2001,87,"Action,Sci-Fi,Thriller",5.9,25,"USA",4.9e+07,19112404,43905746,74005691,0,0,0,0
"0271027",2001,"no_talk","Kiss of the Dragon","Kiss of the Dragon",FALSE,2001,98,"Action,Crime,Drama",6.6,58,"France;USA",2.5e+07,13304027,36845124,64437847,0,0,0,0
"0242998",2001,"about_men","Valentine","Valentine",FALSE,2001,96,"Horror,Mystery,Thriller",4.8,18,"USA",2.9e+07,10024648,20384136,36684136,0,0,0,0
"0259711",2001,"no_talk","Vanilla Sky","Vanilla Sky",FALSE,2001,136,"Fantasy,Mystery,Romance",6.9,45,"USA;Spain",6.8e+07,25015518,100618344,203388341,0,0,1,1
"0120681",2001,"ok","From Hell","From Hell",FALSE,2001,122,"Horror,Mystery,Thriller",6.8,54,"USA",3.5e+07,11014818,31602566,74558115,0,0,0,0
"0206275",2001,"ok","Save the Last Dance","Save the Last Dance",FALSE,2001,112,"Drama,Music,Romance",6.2,53,"USA",1.3e+07,23444930,91057006,131706809,0,0,0,0
"0243155",2001,"ok","Bridget Jones's Diary","Bridget Jones's Diary",FALSE,2001,97,"Comedy,Drama,Romance",6.7,66,"UK;France;USA",2.5e+07,10733933,71543427,281929795,0,0,1,1
"0221027",2001,"no_talk","Blow","Blow",FALSE,2001,124,"Biography,Crime,Drama",7.6,52,"USA;Mexico",5.3e+07,12443461,52990775,83282296,0,0,0,0
"0245674",2001,"no_talk","Thir13en Ghosts","Thir13en Ghosts",FALSE,2001,91,"Horror,Thriller",5.6,30,"USA;Canada",4.2e+07,15165355,41867960,68467960,0,0,0,0
"0221218",2001,"ok","The Glass House","The Glass House",FALSE,2001,106,"Crime,Drama,Mystery",5.8,34,"USA",3e+07,5738448,18150259,23619609,0,0,0,0
"0181739",2001,"ok","Osmosis Jones","Osmosis Jones",FALSE,2001,95,"Action,Adventure,Animation",6.3,57,"USA",7e+07,5271248,13596911,14026418,0,0,0,0
"0232500",2001,"no_talk","The Fast and the Furious","The Fast and the Furious",FALSE,2001,106,"Action,Crime,Thriller",6.8,58,"USA;Germany",3.8e+07,40089015,144533925,207284863,0,0,0,0
"0277027",2001,"ok","I Am Sam","I Am Sam",FALSE,2001,132,"Drama",7.7,28,"USA",2.2e+07,41779,40311852,97818139,0,0,1,1
"0200027",2001,"ok","Riding in Cars with Boys","Riding in Cars with Boys",FALSE,2001,132,"Biography,Comedy,Drama",6.5,43,"USA",4.8e+07,10404652,30165536,35743308,0,0,0,0
"0125022",2001,"ok","Heartbreakers","Heartbreakers",FALSE,2001,123,"Comedy,Crime,Romance",6.2,47,"USA",3.5e+07,11801323,40336607,57756408,0,0,0,0
"0252503",2001,"ok","Heist","Heist",FALSE,2001,109,"Action,Crime,Drama",6.5,66,"Canada;USA",3.9e+07,7823521,23510841,28510652,0,0,0,0
"0250687",2001,"ok","Rat Race","Rat Race",FALSE,2001,112,"Adventure,Comedy",6.4,52,"USA;Canada",4.8e+07,11662094,56618055,85498534,0,0,0,0
"0240890",2001,"ok","Serendipity","Serendipity",FALSE,2001,90,"Comedy,Romance",6.9,52,"USA;Canada",2.8e+07,13309241,50294317,77516304,0,0,0,0
"0252866",2001,"ok","American Pie 2","American Pie 2",FALSE,2001,108,"Comedy",6.4,43,"USA",3e+07,45117985,145103595,287553595,0,0,0,0
"0285742",2001,"about_men","Monster's Ball","Monster's Ball",FALSE,2001,111,"Drama,Romance",7,69,"USA",4e+06,110552,31273922,45011434,1,1,0,0
"0248126",2001,"ok","Kabhi Khushi Kabhie Gham...","Kabhi Khushi Kabhie Gham...",FALSE,2001,210,"Drama,Musical,Romance",7.4,NA,"India",7500000,NA,2902000,11334547,0,0,0,0
"0245046",2001,"ok","Charlotte Gray","Charlotte Gray",FALSE,2001,121,"Drama,Romance,Thriller",6.4,48,"UK;Australia;Germany",2e+07,46271,741394,5323109,0,0,0,0
"0133152",2001,"ok","Planet of the Apes","Planet of the Apes",FALSE,2001,119,"Action,Adventure,Sci-Fi",5.7,50,"USA",1e+08,68532960,180011740,362211740,0,0,0,0
"0163025",2001,"about_men","Jurassic Park III","Jurassic Park III",FALSE,2001,92,"Action,Adventure,Sci-Fi",5.9,42,"USA",9.3e+07,50771645,181171875,368780809,0,0,0,0
"0257106",2001,"ok","Scary Movie 2","Scary Movie 2",FALSE,2001,83,"Comedy,Horror",5.3,29,"USA;Canada",4.5e+07,20503356,71308997,141220678,0,0,0,0
"0244244",2001,"no_talk","Swordfish","Swordfish",FALSE,2001,99,"Action,Crime,Thriller",6.5,32,"USA",1.02e+08,18145632,69772969,147080413,0,0,0,0
"0272152",2001,"no_talk","K-PAX","K-PAX",FALSE,2001,120,"Drama,Mystery,Sci-Fi",7.4,49,"USA;Germany",6.8e+07,17215275,50338485,65001485,0,0,0,0
"0209163",2001,"ok","The Mummy Returns","The Mummy Returns",FALSE,2001,130,"Action,Adventure,Fantasy",6.3,48,"USA",9.8e+07,68139035,202019785,443280904,0,0,0,0
"0278488",2001,"no_talk","How High","How High",FALSE,2001,93,"Comedy,Fantasy",6.3,29,"USA",2e+07,7102260,31178740,31283740,0,0,0,0
"0277371",2001,"ok","Not Another Teen Movie","Not Another Teen Movie",FALSE,2001,89,"Comedy",5.7,32,"USA",1.5e+07,12615116,38252284,66468332,0,0,0,0
"0256009",2001,"no_talk","The Devil's Backbone","El espinazo del diablo",FALSE,2001,106,"Drama,Horror",7.4,78,"Mexico;Spain",4500000,34963,755249,6582065,0,0,0,0
"0265632",2001,"ok","Recess: School's Out","Recess: School's Out",FALSE,2001,82,"Animation,Comedy,Family",6.6,43,"USA;Japan",2.3e+07,10065873,36706141,44460850,0,0,0,0
"0256524",2001,"ok","The Curse of the Jade Scorpion","The Curse of the Jade Scorpion",FALSE,2001,103,"Comedy,Crime,Mystery",6.7,52,"USA;Germany",3.3e+07,2459315,7517191,18914307,0,0,0,0
"0159273",2001,"no_women","Behind Enemy Lines","Behind Enemy Lines",FALSE,2001,106,"Action,Drama,Thriller",6.4,49,"USA",4e+07,18736133,58856790,91753202,0,0,0,0
"0266915",2001,"ok","Rush Hour 2","Rush Hour 2",FALSE,2001,90,"Action,Comedy,Crime",6.6,48,"HongKong;USA",9e+07,67408222,226164286,347325802,0,0,0,0
"0218922",2001,"no_talk","Original Sin","Original Sin",FALSE,2001,116,"Drama,Mystery,Romance",6.1,33,"France;Mexico;USA",4.2e+07,6402741,16534221,35402320,0,0,0,0
"0247425",2001,"ok","In the Bedroom","In the Bedroom",FALSE,2001,131,"Crime,Drama",7.4,86,"USA",1700000,93972,35930604,44763181,0,0,1,5
"0227445",2001,"no_women","The Score","The Score",FALSE,2001,124,"Crime,Drama,Thriller",6.8,71,"Germany;Canada;USA",6.8e+07,19018807,71107711,114252154,0,0,0,0
"0236493",2001,"no_talk","The Mexican","The Mexican",FALSE,2001,123,"Adventure,Comedy,Crime",6.1,43,"USA;Mexico",5.7e+07,20108829,66845033,147845033,0,0,0,0
"0230838",2001,"no_talk","Sweet November","Sweet November",FALSE,2001,119,"Drama,Romance",6.7,27,"USA",4e+07,9733954,25288103,65754228,0,0,0,0
"0186589",2001,"ok","Sugar & Spice","Sugar & Spice",FALSE,2001,81,"Comedy,Crime",5.7,48,"USA",2.7e+07,5891176,13305101,16923761,0,0,0,0
"0268397",2001,"ok","Jimmy Neutron: Boy Genius","Jimmy Neutron: Boy Genius",FALSE,2001,82,"Action,Adventure,Animation",6,65,"USA",3e+07,13832786,80936232,102992536,0,0,1,1
"0240515",2001,"no_women","Freddy Got Fingered","Freddy Got Fingered",FALSE,2001,87,"Comedy",4.6,13,"USA",1.4e+07,7098459,14254993,14343028,0,0,0,0
"0266987",2001,"no_talk","Spy Game","Spy Game",FALSE,2001,126,"Action,Crime,Thriller",7.1,63,"USA;Germany;Japan;France",1.15e+08,21689125,62362560,143049560,0,0,0,0
"0296042",2001,"no_talk","Ichi the Killer","Koroshiya 1",FALSE,2001,129,"Action,Comedy,Crime",7,55,"Japan",1400000,2750,20285,80631,0,0,0,0
"0173840",2001,"no_talk","Final Fantasy: The Spirits Within","Final Fantasy: The Spirits Within",FALSE,2001,106,"Action,Adventure,Animation",6.4,49,"USA;Japan",1.37e+08,11408853,32131830,85131830,0,0,0,0
"0264616",2001,"no_women","Frailty","Frailty",FALSE,2001,100,"Crime,Drama,Thriller",7.2,64,"USA;Germany;Italy",1.1e+07,4208655,13110448,17423030,0,0,0,0
"0215750",2001,"about_men","Enemy at the Gates","Enemy at the Gates",FALSE,2001,131,"Drama,History,War",7.6,53,"Ireland;UK;France;Germany;USA",6.8e+07,13810266,51401758,96976270,0,0,0,0
"0295178",2002,"no_talk","Austin Powers in Goldmember","Austin Powers in Goldmember",FALSE,2002,94,"Action,Adventure,Comedy",6.2,62,"USA",6.3e+07,73071188,213307889,296938801,0,0,0,0
"0293662",2002,"no_women","The Transporter","The Transporter",FALSE,2002,92,"Action,Crime,Thriller",6.8,51,"France;USA",2.1e+07,9107816,25296447,43928932,0,0,0,0
"0268380",2002,"no_women","Ice Age","Ice Age",FALSE,2002,81,"Adventure,Animation,Comedy",7.5,60,"USA",5.9e+07,46312454,176387405,383257136,0,0,1,1
"0120912",2002,"no_talk","Men in Black II","Men in Black II",FALSE,2002,88,"Action,Adventure,Comedy",6.2,49,"USA",1.4e+08,52148751,193735288,445135288,0,0,0,0
"0257756",2002,"ok","High Crimes","High Crimes",FALSE,2002,115,"Crime,Drama,Mystery",6.4,48,"USA",4.2e+07,14005550,41543917,63781810,0,0,0,0
"0181689",2002,"no_talk","Minority Report","Minority Report",FALSE,2002,145,"Action,Crime,Mystery",7.6,80,"USA",1.02e+08,35677125,132072926,358372926,0,0,1,1
"0280590",2002,"about_men","Mr. Deeds","Mr. Deeds",FALSE,2002,96,"Comedy,Romance",5.8,24,"USA",5e+07,37162787,126293452,171269535,0,0,0,0
"0297181",2002,"no_talk","I Spy","I Spy",FALSE,2002,97,"Action,Adventure,Comedy",5.4,35,"USA;Hungary",7e+07,12752803,33561137,51386477,0,0,0,0
"0278504",2002,"no_talk","Insomnia","Insomnia",FALSE,2002,118,"Drama,Mystery,Thriller",7.2,78,"USA;UK",4.6e+07,20930169,67355513,113758770,0,0,0,0
"0183649",2002,"no_talk","Phone Booth","Phone Booth",FALSE,2002,81,"Crime,Thriller",7,56,"USA",1.3e+07,15021088,46566212,97837138,0,0,0,0
"0258463",2002,"no_talk","The Bourne Identity","The Bourne Identity",FALSE,2002,119,"Action,Mystery,Thriller",7.9,68,"USA;Germany;CzechRepublic",6e+07,27118640,121661683,214034224,0,0,0,0
"0253754",2002,"no_talk","Star Trek: Nemesis","Star Trek: Nemesis",FALSE,2002,116,"Action,Adventure,Sci-Fi",6.4,51,"USA",6e+07,18513305,43254409,67336470,0,0,0,0
"0238380",2002,"no_talk","Equilibrium","Equilibrium",FALSE,2002,107,"Action,Drama,Sci-Fi",7.4,33,"USA",2e+07,541512,1203794,5368217,0,0,0,0
"0274558",2002,"ok","The Hours","The Hours",FALSE,2002,110,"Drama,Romance",7.5,80,"USA;UK;France;Canada;Germany",2.5e+07,338622,41675994,108846072,1,1,0,0
"0299658",2002,"ok","Chicago","Chicago",FALSE,2002,113,"Comedy,Crime,Musical",7.1,81,"USA;Germany;Canada",4.5e+07,2074929,170687518,306776732,1,6,0,0
"0252444",2002,"ok","Rabbit-Proof Fence","Rabbit-Proof Fence",FALSE,2002,94,"Adventure,Biography,Drama",7.4,80,"Australia",6e+06,88352,6199600,16217411,0,0,0,0
"0167261",2002,"ok","The Lord of the Rings: The Two Towers","The Lord of the Rings: The Two Towers",FALSE,2002,179,"Adventure,Drama,Fantasy",8.7,87,"NewZealand;USA",9.4e+07,62007528,342551365,951208089,1,2,0,0
"0120804",2002,"ok","Resident Evil","Resident Evil",FALSE,2002,100,"Action,Horror,Sci-Fi",6.7,33,"UK;Germany;France;USA",3.3e+07,17707106,40119709,102984862,0,0,0,0
"0258068",2002,"about_men","The Quiet American","The Quiet American",FALSE,2002,101,"Drama,Romance,Thriller",7,84,"UK;Germany;USA;Vietnam;Australia;France;Canada",3e+07,101663,12988801,27674124,0,0,1,1
"0300532",2002,"ok","Blue Crush","Blue Crush",FALSE,2002,104,"Drama,Romance,Sport",5.6,61,"USA;Germany",2.5e+07,14169455,40390647,51843679,0,0,0,0
"0298228",2002,"ok","Whale Rider","Whale Rider",FALSE,2002,101,"Drama,Family",7.5,80,"NewZealand;Germany",3500000,137418,20779666,41062976,0,0,1,1
"0264464",2002,"about_men","Catch Me If You Can","Catch Me If You Can",FALSE,2002,141,"Biography,Crime,Drama",8.1,75,"USA;Canada",5.2e+07,30053627,164615351,352114312,0,0,1,2
"0289043",2002,"ok","28 Days Later...","28 Days Later...",FALSE,2002,113,"Drama,Horror,Sci-Fi",7.6,73,"UK;Spain",8e+06,10061858,45064915,85720385,0,0,0,0
"0121765",2002,"ok","Star Wars: Episode II - Attack of the Clones","Star Wars: Episode II - Attack of the Clones",FALSE,2002,142,"Action,Adventure,Fantasy",6.5,54,"USA",1.15e+08,80027814,310676740,653779970,0,0,1,1
"0275847",2002,"ok","Lilo & Stitch","Lilo & Stitch",FALSE,2002,85,"Adventure,Animation,Comedy",7.2,73,"USA",8e+07,35260212,145794338,273144151,0,0,1,1
"0299977",2002,"ok","Hero","Ying xiong",FALSE,2002,120,"Action,Adventure,History",7.9,85,"China;HongKong",3.1e+07,17800000,53710019,177395557,0,0,1,1
"0298130",2002,"ok","The Ring","The Ring",FALSE,2002,115,"Horror,Mystery",7.1,57,"USA",4.8e+07,15015393,129128133,249348933,0,0,0,0
"0259446",2002,"ok","My Big Fat Greek Wedding","My Big Fat Greek Wedding",FALSE,2002,95,"Comedy,Drama,Romance",6.5,62,"Canada;USA",5e+06,597362,241438208,368744044,0,0,1,1
"0279778",2002,"ok","Divine Secrets of the Ya-Ya Sisterhood","Divine Secrets of the Ya-Ya Sisterhood",FALSE,2002,116,"Drama",6.1,48,"USA",2.7e+07,16167412,69599016,73839240,0,0,0,0
"0304669",2002,"no_talk","The Santa Clause 2","The Santa Clause 2",FALSE,2002,104,"Comedy,Family,Fantasy",5.6,48,"USA;Canada",6.5e+07,29008696,139236327,172855065,0,0,0,0
"0278500",2002,"ok","The Importance of Being Earnest","The Importance of Being Earnest",FALSE,2002,97,"Comedy,Drama,Romance",6.8,60,"UK;USA",1.5e+07,500447,8384929,18009625,0,0,0,0
"0283084",2002,"ok","Tuck Everlasting","Tuck Everlasting",FALSE,2002,90,"Drama,Family,Fantasy",6.6,66,"USA",1.5e+07,5268764,19161999,19344615,0,0,0,0
"0289408",2002,"ok","The Powerpuff Girls Movie","The Powerpuff Girls Movie",FALSE,2002,73,"Action,Adventure,Animation",6.6,65,"USA",1.1e+07,3583114,11412414,16426471,0,0,0,0
"0303361",2002,"ok","May","May",FALSE,2002,93,"Comedy,Drama,Horror",6.6,58,"USA",5e+05,34989,150277,264349,0,0,0,0
"0253556",2002,"no_talk","Reign of Fire","Reign of Fire",FALSE,2002,101,"Action,Adventure,Fantasy",6.2,39,"USA;UK;Ireland",6e+07,15632281,43061982,82150183,0,0,0,0
"0274812",2002,"ok","Secretary","Secretary",FALSE,2002,107,"Comedy,Drama,Romance",7,63,"USA",4e+06,182306,4059680,9304609,0,0,0,0
"0292644",2002,"ok","The Rules of Attraction","The Rules of Attraction",FALSE,2002,110,"Comedy,Drama,Romance",6.7,50,"Germany;USA",4e+06,2532410,6532619,11832822,0,0,0,0
"0281373",2002,"no_talk","Snow Dogs","Snow Dogs",FALSE,2002,99,"Adventure,Comedy,Family",5.2,29,"Canada;USA",3.3e+07,17814259,81172560,115035090,0,0,0,0
"0120679",2002,"about_men","Frida","Frida",FALSE,2002,123,"Biography,Drama,Romance",7.4,61,"Mexico;USA;Canada",1.2e+07,205996,25885000,56298474,1,2,0,0
"0145487",2002,"no_talk","Spider-Man","Spider-Man",FALSE,2002,121,"Action,Adventure,Sci-Fi",7.3,73,"USA",1.39e+08,114844116,407022860,825025036,0,0,1,2
"0283139",2002,"ok","White Oleander","White Oleander",FALSE,2002,109,"Drama",7.1,61,"USA",1.6e+07,5607480,16357770,21672284,0,0,0,0
"0287717",2002,"ok","Spy Kids 2: Island of Lost Dreams","Spy Kids 2: Island of Lost Dreams",FALSE,2002,100,"Action,Adventure,Comedy",5.1,66,"USA",3.8e+07,16711716,85846429,119723358,0,0,0,0
"0290095",2002,"no_women","The Tuxedo","The Tuxedo",FALSE,2002,98,"Action,Comedy,Sci-Fi",5.4,30,"USA",6e+07,15051028,50547998,104391623,0,0,0,0
"0268126",2002,"ok","Adaptation.","Adaptation.",FALSE,2002,115,"Comedy,Drama",7.7,83,"USA",1.9e+07,384478,22498520,32801173,1,1,0,0
"0166813",2002,"no_talk","Spirit: Stallion of the Cimarron","Spirit: Stallion of the Cimarron",FALSE,2002,83,"Adventure,Animation,Drama",7.1,52,"USA",8e+07,17770036,73280117,122563539,0,0,1,1
"0133240",2002,"ok","Treasure Planet","Treasure Planet",FALSE,2002,95,"Adventure,Animation,Family",7.2,60,"USA",1.4e+08,12083248,38176783,110041363,0,0,1,1
