"group","percent_of_act"
"0.3",98.826714801444
"0.3",116.425992779783
"0.3",132.091284167096
"0.3",84.1284167096441
"0.3",148.916967509025
"0.3",48.5430634347602
"0.3",67.1093347086127
"0.3",82.7746260959257
"0.3",97.0861268695204
"1",95.3455389375967
"1",112.944816915936
"1",86.6425992779783
"1",81.8076328004126
"1",128.416709644146
"1",81.4208354822073
"1",96.8927282104177
"1",49.5100567302733
"1",74.8452810727179
"1",114.105208870552
"1",141.374419804023
"1",125.322331098504
"3",84.5152140278494
"3",103.855079938112
"3",87.9963898916967
"3",79.6802475502836
"3",86.2558019597731
"3",51.250644662197
"3",54.1516245487365
"3",41.3873130479629
"3",67.6895306859206
"3",49.8968540484786
"VEH",54.1516245487365
"VEH",65.9489427539969
"VEH",82.0010314595152
"VEH",122.03455389376
"VEH",137.313047962867
"VEH",80.4538421866942
"VEH",126.48272305312
"VEH",88.383187209902
"VEH",122.03455389376
"VEH",96.1191335740072
"VEH",76.0056730273337
"VEH",126.095925734915
"VEH",109.850438370294
"VEH",119.907168643631
"VEH",93.2181536874678
